Set,Chain1,Chain2,LoopRMSD,AnchorRMSD
0,6l8tH,6l8tA,0.15174517505269555,0.04995206538875396
0,6l8tH,6l8tC,0.12485112324833067,0.05698857084786705
0,6l8tA,6l8tC,0.0721840696286123,0.04338170039770473
1,6li3N,3sn6N,1.3975341265884165,0.3332783530881106
2,6pwuH,3mmeH,3.962959450640629,0.6141836788567658
2,6pwuH,3mmeA,4.083345075836943,0.5196658089478007
2,3mmeH,3mmeA,1.5272341442537092,0.2867296944625621
2,3mmeC,3lrsH,0.31500685255794136,0.1339895000592361
2,3mmeC,3lrsA,0.24342384020318586,0.12686219118004666
2,3lrsC,3lrsE,0.376155726362477,0.17493906908639964
2,3lrsH,3lrsA,0.2665233497334347,0.12253473246970975
3,6u1nH,4jqiH,0.8273409964972217,0.2635441959260565
4,6umxH,6umxh,0.15269642136376832,0.05207799286312089
5,2oslA,6vjaH,2.621970199293399,0.1817493345601358
5,2oslA,2oslH,0.9942658650890426,0.20923678894950232
5,6vjaH,2oslH,2.295059654482772,0.23393537740344114
6,6fe4F,6fe4I,1.1811082255342769,0.27880369846943537
6,6fe4F,6fe4H,0.5582377159447266,0.29635241553527203
6,6fe4F,6fe4J,0.7359851979634403,0.1400926286628374
6,6fe4F,6fe4G,0.6833648189311698,0.14706019591872602
6,6fe4F,6fe4I,1.1811071279196823,0.2788039020981114
6,6fe4F,6fe4H,0.5582337720077964,0.2963532376132039
6,6fe4F,6fe4J,0.7359867771926549,0.14009351919706378
6,6fe4F,6fe4G,0.68336092662537,0.1470603347229782
6,6fe4I,6fe4H,0.926606546805646,0.28803395334607784
6,6fe4I,6fe4J,0.7753973895721931,0.21120409867516549
6,6fe4I,6fe4G,0.7664624908063538,0.19288863446076115
6,6fe4H,6fe4J,0.5259429977592033,0.20159861438456947
6,6fe4H,6fe4G,0.5855383657965795,0.21945319161498167
6,6fe4J,6fe4G,0.2948247579119195,0.05823302304653731
7,6ch9Q,6chbJ,1.9267518110611996,0.5646664363712671
7,6ch9Q,6chbI,2.158432726492325,0.302522259772198
7,6ch9Q,6chbQ,2.955645983809649,0.5393979776018429
7,6ch9Q,6ch8Q,1.6349971156138603,0.2888640898974556
7,6ch9Q,6ch7Q,2.2009260688559626,0.4643146293156496
7,6ch9Q,5ud9H,2.5841317686225618,0.3570197396322879
7,6chbJ,6chbI,1.9120048517760164,0.5487297218191095
7,6chbJ,6chbQ,3.0760338743227185,0.5403905386832981
7,6chbJ,6ch8Q,1.7152580681808327,0.4026818614071872
7,6chbJ,6ch7Q,2.20720165573824,0.31349373102787725
7,6chbJ,5ud9H,2.5805490368679878,0.4333337593905427
7,6chbI,6chbQ,2.7797353241844664,0.4376266803377358
7,6chbI,6ch8Q,1.8147371560501568,0.3015770483858145
7,6chbI,6ch7Q,1.8003251497327175,0.4535769311597527
7,6chbI,5ud9H,2.34030134155857,0.3636128736137737
7,6chbQ,6ch8Q,2.951845285369878,0.4292840104140741
7,6chbQ,6ch7Q,3.6780440432601367,0.43863589374990863
7,6chbQ,5ud9H,0.8290302259401551,0.28240461968056496
7,6ch8Q,6ch7Q,1.2299884403662502,0.2342105651770709
7,6ch8Q,5ud9H,2.4412788296826924,0.2558190624248329
7,6ch7Q,5ud9H,3.1234574897893586,0.3507610461153273
8,4toyH,6ieqD,2.6458719706279883,0.16638147382072946
8,4toyH,5t3sD,2.659637535037348,0.13649412981497086
8,4toyH,5cezD,2.664602856916216,0.14305477991206125
8,4toyH,6mcoD,2.5692187361916448,0.2010236938999644
8,4toyH,6mdtD,2.6324816759129277,0.19504269516998896
8,4toyH,5w6dD,2.6229586156793725,0.1468419146828797
8,4toyH,6ch8D,2.8248748650307105,0.20225559648852248
8,4toyH,5v7jD,3.780595328664989,0.6073337973484215
8,4toyH,6ch7D,2.77780546704373,0.2637394204711945
8,4toyH,6ce0D,2.666180213626568,0.16915316799616648
8,4toyH,5um8D,2.6384687931455537,0.2261229452517436
8,6ieqD,5t3sD,0.3951438076463266,0.08167089834682248
8,6ieqD,5cezD,0.29029112757717657,0.0887342452718708
8,6ieqD,6mcoD,0.5582695867375512,0.17674146990398273
8,6ieqD,6mdtD,0.3182571282045472,0.09418380295503458
8,6ieqD,5w6dD,0.24951735488289076,0.111784118607245
8,6ieqD,6ch8D,1.4347025353955234,0.2266036104266088
8,6ieqD,5v7jD,2.8340056594059875,0.6998597461261249
8,6ieqD,6ch7D,1.2029003825383138,0.1715543405561495
8,6ieqD,6ce0D,0.3562640526158268,0.07703034358738158
8,6ieqD,5um8D,0.4549132199768578,0.27197381039069035
8,5t3sD,5cezD,0.2207474832772041,0.0357346950918746
8,5t3sD,6mcoD,0.5891024371099496,0.14238959927384656
8,5t3sD,6mdtD,0.35425036039852315,0.1029160224911728
8,5t3sD,5w6dD,0.24689192985478106,0.05702284114473639
8,5t3sD,6ch8D,1.3210314311302926,0.2226157423139178
8,5t3sD,5v7jD,2.5636718675600907,0.6838049499424763
8,5t3sD,6ch7D,1.2136845593239294,0.17229513288062975
8,5t3sD,6ce0D,0.3525306087758925,0.08085921854380247
8,5t3sD,5um8D,0.5734024083888593,0.2069868576211636
8,5cezD,6mcoD,0.5717260792177221,0.14219547598030902
8,5cezD,6mdtD,0.23401986873467195,0.11717724966345758
8,5cezD,5w6dD,0.1216914018224384,0.043785866335024466
8,5cezD,6ch8D,1.3878396031035858,0.23538515679231106
8,5cezD,5v7jD,2.7047248031185838,0.6901294378900591
8,5cezD,6ch7D,1.1810294974864215,0.1828073679291405
8,5cezD,6ce0D,0.2406631806352331,0.07423884299054857
8,5cezD,5um8D,0.529829650979307,0.2230905791306082
8,6mcoD,6mdtD,0.5263699972045872,0.17146454987758478
8,6mcoD,5w6dD,0.5243889573550575,0.11875429810897505
8,6mcoD,6ch8D,1.3262809966956643,0.2103618250521853
8,6mcoD,5v7jD,2.6570813392734167,0.7315927755781643
8,6mcoD,6ch7D,1.2725221117118288,0.18281232060548447
8,6mcoD,6ce0D,0.7014398726785437,0.1276503799753856
8,6mcoD,5um8D,0.3318841215539643,0.21257982655737576
8,6mdtD,5w6dD,0.2428729831451807,0.11619568147451324
8,6mdtD,6ch8D,1.390443339966028,0.21399902575824895
8,6mdtD,5v7jD,2.7162354778493194,0.7474472996302037
8,6mdtD,6ch7D,1.1749107332003808,0.14539688425036065
8,6mdtD,6ce0D,0.3376009035271547,0.09662623455552001
8,6mdtD,5um8D,0.5189502306652356,0.2683897858830155
8,5w6dD,6ch8D,1.395079176511922,0.21992451149526246
8,5w6dD,5v7jD,2.7384838948928074,0.7051146747261897
8,5w6dD,6ch7D,1.1890215161111677,0.1852047000800858
8,5w6dD,6ce0D,0.2767558145551908,0.08158337336900266
8,5w6dD,5um8D,0.48333698228850797,0.2115025671989559
8,6ch8D,5v7jD,2.438008768831025,0.6908916548643856
8,6ch8D,6ch7D,0.8205390889709019,0.24503038496319546
8,6ch8D,6ce0D,1.448711645854559,0.213409665259246
8,6ch8D,5um8D,1.378599440722765,0.30148810481311106
8,5v7jD,6ch7D,2.8014672369007103,0.7814703421912416
8,5v7jD,6ce0D,2.737041894911945,0.7174285975221999
8,5v7jD,5um8D,2.7700679458107085,0.6557064261657951
